"Model","DIC","Tau_Se","Tau_Sp","I2_Se","I2_Sp"
"Base NMA",656.710579062554,"0.438 [0.023, 1.137]","0.748 [0.041, 1.710]","7.2% [0.0%, 28.2%]","16.2% [0.0%, 47.1%]"
"Multivariate MR",682.046439988495,"0.424 [0.021, 1.156]","0.627 [0.030, 1.540]","6.8% [0.0%, 28.9%]","12.5% [0.0%, 41.9%]"
