"Covariate","Level","Se_Mean","Se_Lo","Se_Hi","Se_Sig","Se_Pval","Sp_Mean","Sp_Lo","Sp_Hi","Sp_Sig","Sp_Pval"
"dr","rdr vs any dr",0.905006112993871,-0.331043022803173,2.18925699052234,FALSE,0.148,0.215989926495654,-1.29098489189523,1.77908070264469,FALSE,0.784
"dr","vtdr vs any dr",0.517983015974133,-0.825479363977371,1.94376853141373,FALSE,0.461,0.991295905507703,-0.605162711195869,2.65619308457299,FALSE,0.2175
"hgradable","NR vs high",0.471822977468395,-0.334164270273659,1.30333296614345,FALSE,0.262,-0.951499613593461,-1.73364103823833,-0.143989148336188,TRUE,0.023
