"Test","Sensitivity","Specificity","Youden"
"DL only","0.927 [0.894, 0.951]","0.930 [0.896, 0.957]","0.857 [0.814, 0.894]"
"Human only","0.849 [0.798, 0.893]","0.963 [0.947, 0.976]","0.812 [0.760, 0.858]"
"Human + DL","0.916 [0.866, 0.951]","0.972 [0.951, 0.985]","0.888 [0.836, 0.925]"
