"Model","DIC","Tau_Se","Tau_Sp","I2_Se","I2_Sp"
"Base NMA",2830.25338842848,"0.699 [0.423, 1.044]","0.835 [0.501, 1.256]","13.2% [5.2%, 24.9%]","17.7% [7.1%, 32.4%]"
"Multivariate MR",2830.2787924613,"0.228 [0.007, 0.688]","1.002 [0.347, 1.766]","2.4% [0.0%, 12.6%]","23.6% [3.5%, 48.7%]"
