"Metric","Mean","Lo95","Hi95"
"Tau (between-study SD) Se",0.698558893873657,0.423181866518853,1.04425569750217
"Tau (between-study SD) Sp",0.835030436992382,0.501071560855206,1.25567665842993
"SD within-study Se",0.297331958119339,0.0340694620628472,0.605862990824295
"SD within-study Sp",0.210650632669177,0.012575124275706,0.540702018215437
"I² (between-study) Se",0.131870908409223,0.0516245109954511,0.248946528347052
"I² (between-study) Sp",0.176911145868845,0.0709056493092436,0.323989327469896
