"Metric","Mean","Lo95","Hi95"
"Tau (between-study SD) Se",0.438017686893595,0.0227298084819958,1.13660201068399
"Tau (between-study SD) Sp",0.748425273867177,0.0405283051790879,1.71030412205026
"SD within-study Se",0.902611886113846,0.48065118789588,1.40857675965864
"SD within-study Sp",1.28752230721497,0.773966865879421,1.87906660303629
"I² (between-study) Se",0.0719085831450139,0.000157016528732253,0.281959756826983
"I² (between-study) Sp",0.162125627127422,0.000499025072379433,0.470657479559963
