"Test","Sensitivity","Specificity","Youden"
"DL only","0.902 [0.822, 0.953]","0.885 [0.758, 0.958]","0.786 [0.645, 0.880]"
"Human only","0.792 [0.667, 0.886]","0.935 [0.858, 0.977]","0.727 [0.585, 0.832]"
"Human + DL","0.908 [0.675, 0.988]","0.904 [0.617, 0.992]","0.812 [0.474, 0.956]"
